step,epoch,loss,loss_wave,loss_mag,lr,sec_per_step,sdr_vocals,sdr_drums,sdr_bass,sdr_other,sdr_mean,val_loss
50,0,0.16261106491088867,0.05957929693162441,0.2060635381937027,5.9999999999999995e-05,1.4344495296478272,,,,,,
100,0,0.12457057908177376,0.03732966389507055,0.17448183119297028,0.00011999999999999999,1.3604433298110963,,,,,,
150,0,0.12146714106202125,0.04248497307300567,0.15796433717012406,0.00017999999999999998,1.387472071647644,,,,,,
200,0,0.11035051435232163,0.03732180442661047,0.1460574187338352,0.00023999999999999998,1.358083233833313,,,,,,
250,1,0.11503078237175941,0.03920449461787939,0.15165257662534715,0.0003,1.379969048500061,,,,,,
250,1,,,,,,-17.899580001831055,-12.026304244995117,-8.983585357666016,-7.782143592834473,-11.672903299331665,0.1415696878518377
300,1,0.11052463367581368,0.03810652412474155,0.1448362201452255,0.0002996666178639734,1.502052297592163,,,,,,
350,1,0.11055743739008904,0.0399635361507535,0.14118780374526976,0.0002986407531617727,1.471499629020691,,,,,,
400,1,0.10139675617218018,0.034231837168335916,0.13432983711361884,0.00029692726489758694,1.3931028127670289,,,,,,
450,1,0.10386642843484878,0.03500465836375952,0.13772354051470756,0.0002945345010139997,1.3410370206832887,,,,,,
500,2,0.1039134280383587,0.03391694707795977,0.13999296158552169,0.0002914741188161321,1.337595477104187,,,,,,
500,2,,,,,,-17.496530532836914,-10.657147407531738,-8.252717971801758,-9.537930488586426,-11.486081600189209,0.14213505387306213
550,2,0.09788124933838845,0.03138630226254463,0.13298989310860634,0.0002877610281784237,1.3848439741134644,,,,,,
600,2,0.09998604267835617,0.03418508064001799,0.13160192474722862,0.0002834133189052228,1.2982643222808838,,,,,,
650,2,0.09384381294250488,0.02932964639738202,0.12902833253145218,0.00027845217259907815,1.3358060264587401,,,,,,
700,2,0.10014790371060371,0.03307386338710785,0.134148081690073,0.00027290175946610067,1.395529727935791,,,,,,
750,3,0.10029041722416877,0.033193932436406615,0.13419296994805335,0.00026678912056114865,1.3302691507339477,,,,,,
750,3,,,,,,-17.613605499267578,-10.324172019958496,-9.105546951293945,-7.136557579040527,-11.044970512390137,0.13664692427430833
800,3,0.09619138404726982,0.031087917983531953,0.13020693123340607,0.00026014403604652673,1.3574642896652223,,,,,,
850,3,0.09691690593957901,0.031996707897633314,0.12984039545059203,0.0002529988801060285,1.3307387828826904,,,,,,
900,3,0.10215816989541054,0.032466671988368036,0.1393829959630966,0.0002453884632211676,1.3877373838424683,,,,,,
950,3,0.10030134476721286,0.03247459288686514,0.1356535044312477,0.0002373498625780106,1.4232605218887329,,,,,,
1000,4,0.09398434147238731,0.02937046766281128,0.12922774791717528,0.00022892224143085364,1.2972521305084228,,,,,,
1000,4,,,,,,-17.12445068359375,-9.790998458862305,-8.989195823669434,-6.33127498626709,-10.558979988098145,0.13475832343101501
1050,4,0.10229153841733933,0.03401194583624601,0.13655918553471566,0.00022014665830278417,1.2294511127471923,,,,,,
1100,4,0.09534611567854881,0.031094773933291436,0.1285026839375496,0.0002110658669526836,1.1948425197601318,,,,,,
1150,4,0.09402547836303711,0.029099309220910072,0.1298523387312889,0.0002017241080832117,1.1810346889495849,,,,,,
1200,4,0.09351506747305394,0.031297700349241495,0.1244347321987152,0.00019216689380455014,1.1751192092895508,,,,,,
1250,5,0.09440408453345299,0.029025907889008523,0.13075635299086572,0.00018244078590397685,1.159051685333252,,,,,,
1250,5,,,,,,-16.91713523864746,-9.344470024108887,-7.977436542510986,-6.002072334289551,-10.060278534889221,0.1343254510845457
1300,5,0.09506061136722564,0.03163302490487695,0.12685517400503157,0.0001725931690015184,1.2649717950820922,,,,,,
1350,5,0.09762085810303688,0.033047498855739835,0.1291467173397541,0.00016267201969684451,1.2760904598236085,,,,,,
1400,5,0.08947363138198852,0.029982284493744373,0.11898269414901734,0.0001527256728320973,1.277034330368042,,,,,,
1450,5,0.09194669902324676,0.028400133233517408,0.12709313198924066,0.00014280258600939843,1.236162371635437,,,,,,
1500,6,0.09407196551561356,0.029855426866561174,0.12843307703733445,0.00013295110351028283,1.2634747457504272,,,,,,
1500,6,,,,,,-16.316844940185547,-9.222285270690918,-7.3285064697265625,-6.24157190322876,-9.777302145957947,0.13495015246527536
1550,6,0.09398592188954354,0.030755876265466213,0.126460090726614,0.00012321922076721865,1.3058767652511596,,,,,,
1600,6,0.09660501644015312,0.030339111043140292,0.13253181129693986,0.0001136543505346848,1.2747452211380006,,,,,,
1650,6,0.0893134242296219,0.028384725600481032,0.1218573971092701,0.00010430309189899664,1.2870176601409913,,,,,,
1700,6,0.09351878225803376,0.030926328748464585,0.12518490687012673,9.521100325224208e-05,1.2371844863891601,,,,,,
1750,7,0.08853321611881255,0.028288010116666554,0.12049041211605072,8.642238033637453e-05,1.253532795906067,,,,,,
1750,7,,,,,,-14.801976203918457,-7.481562614440918,-4.350669860839844,-4.065432071685791,-7.674910187721252,0.12456491802419935
1800,7,0.08548237502574921,0.02702391566708684,0.11691691890358925,7.798004043881078e-05,1.318689751625061,,,,,,
1850,7,0.08816124543547631,0.028570981938391925,0.11918052643537522,6.992511379091081e-05,1.2492290258407592,,,,,,
1900,7,0.08994587756693363,0.0280101315677166,0.12387149259448052,6.22968431856247e-05,1.2366129684448242,,,,,,
1950,7,0.091367107629776,0.030177793130278588,0.12237862825393676,5.513239279055045e-05,1.2504722118377685,,,,,,
2000,8,0.08230630680918694,0.02680819680914283,0.11099621996283532,4.846666708784467e-05,1.235993938446045,,,,,,
2000,8,,,,,,-12.957763671875,-6.346790790557861,-2.5596401691436768,-2.6639180183410645,-6.132028162479401,0.1173608803323337
2050,8,0.08024906612932682,0.023369004651904106,0.1137601238489151,4.233214082309463e-05,1.3285741996765137,,,,,,
2100,8,0.09333739057183266,0.03103088840842247,0.12461300313472748,3.675870079162176e-05,1.2777721643447877,,,,,,
2150,8,0.08663203462958335,0.028274823296815157,0.11671442329883576,3.1773500233019174e-05,1.2859370851516723,,,,,,
2200,8,0.08984450906515122,0.029362307973206044,0.12096440076828002,2.7400826543297715e-05,1.311684103012085,,,,,,
2250,9,0.09054821737110615,0.029702789038419723,0.12169085547327996,2.3661982949134145e-05,1.2735614967346192,,,,,,
2250,9,,,,,,-12.236066818237305,-6.27725076675415,-2.397447109222412,-2.1136128902435303,-5.756094396114349,0.11702607784952436
2300,9,0.08411145187914372,0.02718991780653596,0.11384306773543358,2.057518472069197e-05,1.2985888385772706,,,,,,
2350,9,0.08414429768919945,0.026403213646262885,0.11548216819763184,1.8155470428656267e-05,1.2794693088531495,,,,,,
2400,9,0.08241588786244393,0.025642454568296672,0.1135468664765358,1.641462867782902e-05,1.2852659511566162,,,,,,
2450,9,0.08701335728168487,0.027349158506840467,0.11932839766144752,1.5361140674231457e-05,1.2889519739151,,,,,,
2500,10,0.08776149325072766,0.027870324570685626,0.11978233769536019,1.500013890552085e-05,1.3463899183273316,,,,,,
2500,10,,,,,,-12.051406860351562,-6.79610013961792,-2.3656973838806152,-1.8982858657836914,-5.777872562408447,0.11633337821279253
